"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.7637e-15,-3.1714e-14,-5.6486e-33,-2.8217e-22,-1.9568e-22,0,0,0,0,-1.9498e-13,2.8175e-13,0,-5.6697e-13,3.0776e-29,1.0797e-30,7.254e-13,-9.7637e-15,-3.1714e-14,-5.6486e-33,-2.8217e-22,-1.9568e-22,0,-0.20265,0.54105,0.10152,-0.88447,4.8011e-17,1.6844e-18,1.6974,0.054657,1,0.00953,0.00953,0.00125,0
-9.7659e-15,-3.1761e-14,-5.721e-33,-2.8245e-22,-1.9819e-22,0,0,0,0,-1.9356e-13,2.8212e-13,0,-5.6854e-13,3.0928e-29,1.0567e-30,7.2663e-13,-9.7659e-15,-3.1761e-14,-5.721e-33,-2.8246e-22,-1.9819e-22,0,-0.19833,0.54372,0.10362,-0.88692,4.8248e-17,1.6485e-18,1.7003,0.056505,1,0.00954,0.00954,0.00125,0
-9.768e-15,-3.1808e-14,-5.7934e-33,-2.8274e-22,-2.0069e-22,0,0,0,0,-1.9214e-13,2.8249e-13,0,-5.7012e-13,3.108e-29,1.0338e-30,7.2785e-13,-9.768e-15,-3.1808e-14,-5.7934e-33,-2.8274e-22,-2.0069e-22,0,-0.19402,0.5464,0.10571,-0.88938,4.8485e-17,1.6127e-18,1.7032,0.058353,1,0.00955,0.00955,0.00125,0
-9.7702e-15,-3.1855e-14,-5.8659e-33,-2.8302e-22,-2.032e-22,0,0,0,0,-1.9072e-13,2.8286e-13,0,-5.7169e-13,3.1232e-29,1.0108e-30,7.2908e-13,-9.7702e-15,-3.1855e-14,-5.8658e-33,-2.8302e-22,-2.032e-22,0,-0.18971,0.54907,0.10781,-0.89184,4.8721e-17,1.5768e-18,1.7061,0.060201,1,0.00956,0.00956,0.00125,0
-9.7723e-15,-3.1902e-14,-5.9383e-33,-2.833e-22,-2.0571e-22,0,0,0,0,-1.893e-13,2.8323e-13,0,-5.7327e-13,3.1383e-29,9.8782e-31,7.3031e-13,-9.7724e-15,-3.1902e-14,-5.9383e-33,-2.833e-22,-2.0571e-22,0,-0.1854,0.55174,0.1099,-0.8943,4.8958e-17,1.541e-18,1.7089,0.062048,1,0.00957,0.00957,0.00125,0
-9.7745e-15,-3.1949e-14,-6.0107e-33,-2.8359e-22,-2.0822e-22,0,0,0,0,-1.8788e-13,2.836e-13,0,-5.7484e-13,3.1535e-29,9.6485e-31,7.3154e-13,-9.7745e-15,-3.1949e-14,-6.0107e-33,-2.8359e-22,-2.0822e-22,0,-0.18109,0.55442,0.112,-0.89676,4.9195e-17,1.5052e-18,1.7118,0.063896,1,0.00958,0.00958,0.00125,0
-9.7767e-15,-3.1996e-14,-6.0831e-33,-2.8387e-22,-2.1073e-22,0,0,0,0,-1.8646e-13,2.8397e-13,0,-5.7642e-13,3.1687e-29,9.4188e-31,7.3277e-13,-9.7767e-15,-3.1996e-14,-6.0831e-33,-2.8387e-22,-2.1073e-22,0,-0.17678,0.55709,0.11409,-0.89922,4.9431e-17,1.4693e-18,1.7147,0.065744,1,0.00959,0.00959,0.00125,0
-9.7788e-15,-3.2043e-14,-6.1555e-33,-2.8415e-22,-2.1324e-22,0,0,0,0,-1.8504e-13,2.8434e-13,0,-5.78e-13,3.1839e-29,9.1891e-31,7.34e-13,-9.7788e-15,-3.2043e-14,-6.1555e-33,-2.8415e-22,-2.1324e-22,0,-0.17247,0.55977,0.11619,-0.90167,4.9668e-17,1.4335e-18,1.7176,0.067591,1,0.0096,0.0096,0.00125,0
-9.781e-15,-3.209e-14,-6.2279e-33,-2.8444e-22,-2.1575e-22,0,0,0,0,-1.8362e-13,2.8471e-13,0,-5.7957e-13,3.199e-29,8.9593e-31,7.3523e-13,-9.781e-15,-3.209e-14,-6.2279e-33,-2.8444e-22,-2.1575e-22,0,-0.16815,0.56244,0.11829,-0.90413,4.9905e-17,1.3977e-18,1.7204,0.069439,1,0.00961,0.00961,0.00125,0
-9.7831e-15,-3.2137e-14,-6.3004e-33,-2.8472e-22,-2.1826e-22,0,0,0,0,-1.8219e-13,2.8508e-13,0,-5.8115e-13,3.2142e-29,8.7296e-31,7.3646e-13,-9.7831e-15,-3.2137e-14,-6.3004e-33,-2.8472e-22,-2.1826e-22,0,-0.16384,0.56511,0.12038,-0.90659,5.0142e-17,1.3618e-18,1.7233,0.071287,1,0.00962,0.00962,0.00125,0
-9.7853e-15,-3.2184e-14,-6.3728e-33,-2.85e-22,-2.2076e-22,0,0,0,0,-1.8077e-13,2.8546e-13,0,-5.8272e-13,3.2294e-29,8.4999e-31,7.3769e-13,-9.7853e-15,-3.2184e-14,-6.3728e-33,-2.85e-22,-2.2076e-22,0,-0.15953,0.56779,0.12248,-0.90905,5.0378e-17,1.326e-18,1.7262,0.073134,1,0.00963,0.00963,0.00125,0
-9.7874e-15,-3.2231e-14,-6.4452e-33,-2.8528e-22,-2.2327e-22,0,0,0,0,-1.7935e-13,2.8583e-13,0,-5.843e-13,3.2445e-29,8.2702e-31,7.3892e-13,-9.7874e-15,-3.2231e-14,-6.4452e-33,-2.8528e-22,-2.2327e-22,0,-0.15522,0.57046,0.12457,-0.91151,5.0615e-17,1.2901e-18,1.7291,0.074982,1,0.00964,0.00964,0.00125,0
-9.7896e-15,-3.2278e-14,-6.5176e-33,-2.8557e-22,-2.2578e-22,0,0,0,0,-1.7793e-13,2.862e-13,0,-5.8587e-13,3.2597e-29,8.0404e-31,7.4014e-13,-9.7896e-15,-3.2278e-14,-6.5176e-33,-2.8557e-22,-2.2578e-22,0,-0.15091,0.57313,0.12667,-0.91396,5.0852e-17,1.2543e-18,1.7319,0.07683,1,0.00965,0.00965,0.00125,0
-9.7917e-15,-3.2324e-14,-6.59e-33,-2.8585e-22,-2.2829e-22,0,0,0,0,-1.7651e-13,2.8657e-13,0,-5.8745e-13,3.2749e-29,7.8107e-31,7.4137e-13,-9.7917e-15,-3.2324e-14,-6.59e-33,-2.8585e-22,-2.2829e-22,0,-0.1466,0.57581,0.12876,-0.91642,5.1088e-17,1.2185e-18,1.7348,0.078678,1,0.00966,0.00966,0.00125,0
-9.7939e-15,-3.2371e-14,-6.6625e-33,-2.8613e-22,-2.308e-22,0,0,0,0,-1.7509e-13,2.8694e-13,0,-5.8903e-13,3.2901e-29,7.581e-31,7.426e-13,-9.7939e-15,-3.2371e-14,-6.6624e-33,-2.8613e-22,-2.308e-22,0,-0.14228,0.57848,0.13086,-0.91888,5.1325e-17,1.1826e-18,1.7377,0.080525,1,0.00967,0.00967,0.00125,0
-9.796e-15,-3.2418e-14,-6.7349e-33,-2.8642e-22,-2.3331e-22,0,0,0,0,-1.7367e-13,2.8731e-13,0,-5.906e-13,3.3052e-29,7.3512e-31,7.4383e-13,-9.796e-15,-3.2418e-14,-6.7349e-33,-2.8642e-22,-2.3331e-22,0,-0.13797,0.58116,0.13295,-0.92134,5.1562e-17,1.1468e-18,1.7406,0.082373,1,0.00968,0.00968,0.00125,0
-9.7982e-15,-3.2465e-14,-6.8073e-33,-2.867e-22,-2.3582e-22,0,0,0,0,-1.7225e-13,2.8768e-13,0,-5.9218e-13,3.3204e-29,7.1215e-31,7.4506e-13,-9.7982e-15,-3.2465e-14,-6.8073e-33,-2.867e-22,-2.3582e-22,0,-0.13366,0.58383,0.13505,-0.9238,5.1798e-17,1.111e-18,1.7434,0.084221,1,0.00969,0.00969,0.00125,0
-9.8004e-15,-3.2512e-14,-6.8797e-33,-2.8698e-22,-2.3832e-22,0,0,0,0,-1.7083e-13,2.8805e-13,0,-5.9375e-13,3.3356e-29,6.8918e-31,7.4629e-13,-9.8004e-15,-3.2512e-14,-6.8797e-33,-2.8698e-22,-2.3832e-22,0,-0.12935,0.5865,0.13715,-0.92626,5.2035e-17,1.0751e-18,1.7463,0.086068,1,0.0097,0.0097,0.00125,0
-9.8025e-15,-3.2559e-14,-6.9521e-33,-2.8727e-22,-2.4083e-22,0,0,0,0,-1.6941e-13,2.8842e-13,0,-5.9533e-13,3.3508e-29,6.6621e-31,7.4752e-13,-9.8025e-15,-3.2559e-14,-6.9521e-33,-2.8727e-22,-2.4083e-22,0,-0.12504,0.58918,0.13924,-0.92871,5.2272e-17,1.0393e-18,1.7492,0.087916,1,0.00971,0.00971,0.00125,0
