"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.3416e-17,-5.4339e-16,1.9428e-34,3.3416e-17,-5.4339e-16,1.9428e-34,0,0,0,1.5375e-17,-6.5296e-18,0,-2.7898e-19,-8.3223e-33,-2.5598e-32,1.3002e-17,3.3416e-17,-5.4339e-16,1.9428e-34,3.3416e-17,-5.4339e-16,1.9428e-34,3.4334e-05,1.6284e-07,1.0349e-05,-4.3522e-07,-1.2983e-20,-3.9933e-20,3.0424e-05,1.529e-05,1,1.144,1.144,0.09,0
3.3451e-17,-5.4507e-16,1.5771e-34,3.3451e-17,-5.4507e-16,1.5771e-34,0,0,0,1.5339e-17,-6.5144e-18,0,-2.79e-19,-6.2735e-33,-2.6122e-32,1.2971e-17,3.3451e-17,-5.4507e-16,1.5771e-34,3.3451e-17,-5.4507e-16,1.5771e-34,3.4254e-05,1.6247e-07,1.0325e-05,-4.3524e-07,-9.7867e-21,-4.0751e-20,3.0353e-05,1.5254e-05,1,1.146,1.146,0.09,0
3.3486e-17,-5.4675e-16,1.2114e-34,3.3486e-17,-5.4675e-16,1.2114e-34,0,0,0,1.5303e-17,-6.4992e-18,0,-2.7901e-19,-4.2247e-33,-2.6647e-32,1.2941e-17,3.3486e-17,-5.4675e-16,1.2114e-34,3.3486e-17,-5.4675e-16,1.2114e-34,3.4174e-05,1.621e-07,1.0301e-05,-4.3526e-07,-6.5906e-21,-4.1568e-20,3.0282e-05,1.5219e-05,1,1.148,1.148,0.09,0
3.3521e-17,-5.4843e-16,8.4575e-35,3.3521e-17,-5.4843e-16,8.4575e-35,0,0,0,1.5267e-17,-6.4839e-18,0,-2.7902e-19,-2.1759e-33,-2.7171e-32,1.2911e-17,3.3521e-17,-5.4843e-16,8.4575e-35,3.3521e-17,-5.4843e-16,8.4575e-35,3.4094e-05,1.6173e-07,1.0277e-05,-4.3528e-07,-3.3944e-21,-4.2386e-20,3.0211e-05,1.5183e-05,1,1.15,1.15,0.09,0
3.3556e-17,-5.5011e-16,4.8005e-35,3.3556e-17,-5.5011e-16,4.8005e-35,0,0,0,1.5231e-17,-6.4687e-18,0,-2.7903e-19,-1.2711e-34,-2.7695e-32,1.2881e-17,3.3556e-17,-5.5011e-16,4.8005e-35,3.3556e-17,-5.5011e-16,4.8005e-35,3.4014e-05,1.6136e-07,1.0252e-05,-4.3529e-07,-1.9831e-22,-4.3204e-20,3.014e-05,1.5147e-05,1,1.152,1.152,0.09,0
3.359e-17,-5.5179e-16,1.1434e-35,3.359e-17,-5.5179e-16,1.1434e-35,0,0,0,1.5196e-17,-6.4534e-18,0,-2.7905e-19,1.9218e-33,-2.8219e-32,1.285e-17,3.359e-17,-5.5179e-16,1.1434e-35,3.359e-17,-5.5179e-16,1.1434e-35,3.3934e-05,1.6099e-07,1.0228e-05,-4.3531e-07,2.998e-21,-4.4022e-20,3.007e-05,1.5112e-05,1,1.154,1.154,0.09,0
3.3625e-17,-5.5347e-16,-2.5136e-35,3.3625e-17,-5.5347e-16,-2.5136e-35,0,0,0,1.516e-17,-6.4382e-18,0,-2.7906e-19,3.9706e-33,-2.8744e-32,1.282e-17,3.3625e-17,-5.5347e-16,-2.5136e-35,3.3625e-17,-5.5347e-16,-2.5136e-35,3.3853e-05,1.6061e-07,1.0204e-05,-4.3533e-07,6.1941e-21,-4.484e-20,2.9999e-05,1.5076e-05,1,1.156,1.156,0.09,0
3.366e-17,-5.5515e-16,-6.1705e-35,3.366e-17,-5.5515e-16,-6.1705e-35,0,0,0,1.5124e-17,-6.423e-18,0,-2.7907e-19,6.0194e-33,-2.9268e-32,1.279e-17,3.366e-17,-5.5515e-16,-6.1705e-35,3.366e-17,-5.5515e-16,-6.1705e-35,3.3773e-05,1.6024e-07,1.018e-05,-4.3535e-07,9.3903e-21,-4.5658e-20,2.9928e-05,1.504e-05,1,1.158,1.158,0.09,0
3.3695e-17,-5.5683e-16,-9.8275e-35,3.3695e-17,-5.5683e-16,-9.8275e-35,0,0,0,1.5088e-17,-6.4077e-18,0,-2.7908e-19,8.0682e-33,-2.9792e-32,1.2759e-17,3.3695e-17,-5.5683e-16,-9.8275e-35,3.3695e-17,-5.5683e-16,-9.8275e-35,3.3693e-05,1.5987e-07,1.0156e-05,-4.3537e-07,1.2586e-20,-4.6476e-20,2.9857e-05,1.5005e-05,1,1.16,1.16,0.09,0
3.3729e-17,-5.5853e-16,-1.0692e-34,3.3729e-17,-5.5853e-16,-1.0692e-34,0,0,0,1.5052e-17,-6.3925e-18,0,-2.7909e-19,8.4082e-33,-2.6619e-32,1.2729e-17,3.3729e-17,-5.5853e-16,-1.0692e-34,3.3729e-17,-5.5853e-16,-1.0692e-34,3.3613e-05,1.5949e-07,1.0132e-05,-4.3538e-07,1.3117e-20,-4.1525e-20,2.9786e-05,1.4969e-05,1,1.162,1.162,0.09,0
3.3763e-17,-5.6022e-16,-1.1556e-34,3.3763e-17,-5.6022e-16,-1.1556e-34,0,0,0,1.5016e-17,-6.3772e-18,0,-2.7909e-19,8.7482e-33,-2.3445e-32,1.2699e-17,3.3763e-17,-5.6022e-16,-1.1556e-34,3.3763e-17,-5.6022e-16,-1.1556e-34,3.3533e-05,1.5911e-07,1.0108e-05,-4.3538e-07,1.3647e-20,-3.6574e-20,2.9715e-05,1.4933e-05,1,1.164,1.164,0.09,0
3.3797e-17,-5.6192e-16,-1.2421e-34,3.3797e-17,-5.6192e-16,-1.2421e-34,0,0,0,1.498e-17,-6.362e-18,0,-2.7909e-19,9.0883e-33,-2.0272e-32,1.2669e-17,3.3797e-17,-5.6192e-16,-1.2421e-34,3.3797e-17,-5.6192e-16,-1.2421e-34,3.3453e-05,1.5873e-07,1.0083e-05,-4.3539e-07,1.4178e-20,-3.1624e-20,2.9644e-05,1.4897e-05,1,1.166,1.166,0.09,0
3.3831e-17,-5.6362e-16,-1.3285e-34,3.3831e-17,-5.6362e-16,-1.3285e-34,0,0,0,1.4944e-17,-6.3467e-18,0,-2.791e-19,9.4283e-33,-1.7098e-32,1.2638e-17,3.3831e-17,-5.6362e-16,-1.3285e-34,3.3831e-17,-5.6362e-16,-1.3285e-34,3.3372e-05,1.5835e-07,1.0059e-05,-4.3539e-07,1.4708e-20,-2.6673e-20,2.9574e-05,1.4862e-05,1,1.168,1.168,0.09,0
